DOI,Components,Pressure,Temperature (C),Speed (mm/s),Needle,Cells (e6/ml),Additional notes,
https://10.1002/jbm.b.34347,Polystyrene [100 wt%] ,900 kPa,155,3 - 5,400 µm Cylindrical, ,""
https://10.1002/jbm.b.34347,Glass Sugar [100 wt%] ,70 kPa - 80 kPa,150,30 - 10,300 µm Cylindrical, ,""
https://10.1021/acsbiomaterials.6b00031,Gelatin Methacrylated [5 wt%] ,0.5 bar,23,10,400 µm Cylindrical,Placenta BeWo Cells (10),"fibronectin added"
https://10.1021/acsbiomaterials.6b00031,Gelatin Methacrylated [10 wt%] ,0.7 bar,28,10,400 µm Cylindrical,Placenta BeWo Cells (10),"fibronectin added"
https://10.1002/bit.26850,Gelatin Methacrylated [10 wt%] ,0.5 bar - 1 bar,23,10,400 µm Cylindrical,Primary Human Umbilical Vein Endothelial Cells (10),"fibronectin added"
https://10.1002/jbm.a.36350,Gelatin Methacrylated [10 wt%] ,0.5 bar - 1 bar,23,10,400 µm Cylindrical,Placenta BeWo Cells (2),"fibronectin, placental dECM added"
https://10.1088/1758-5090/ab078a,Fibrinogen [10 wt%] Gelatin [5 wt%] ,0.5 bar - 2 bar,22 - 26,2 - 10,400 µm Conical,Human Umbilical Vein Endothelial Cells (2),""
https://10.1088/1758-5090/ab078a,Fibrinogen [10 wt%] Gelatin [5 wt%] ,0.5 bar - 2 bar,22 - 26,2 - 10,400 µm Conical,Human Mesenchymal Stem Cells (2),""
https://10.1088/1758-5090/ab078a,PCL [100 wt%] ,5 bar,120,2,400 µm Cylindrical, ,"PCL molecular weight = 43,000."
https://10.1089/ten.tec.2019.0112,PCL [100 wt%] ,4.5 bar,160,1.3,22 Gauge Cylindrical, ,"PCL molecular weight = 50 kDa"
https://10.1089/ten.tec.2019.0112,PCL [100 wt%] ,5 bar,160,12,24 Gauge Cylindrical, ,"PCL molecular weight = 50 kDa"
https://10.1089/ten.tec.2019.0112,PCL [100 wt%] ,5.5 bar,160,1,27 Gauge Cylindrical, ,"PCL molecular weight = 50 kDa"
https://10.1089/ten.tec.2019.0112,PCL [85 wt%] Hydroxyapatite [15 wt%] ,4.5 bar,160,1.2,22 Gauge Cylindrical, ,"PCL molecular weight = 50 kDa"
https://10.1089/ten.tec.2019.0112,PCL [85 wt%] Hydroxyapatite [15 wt%] ,5 bar,160,0.5,24 Gauge Cylindrical, ,"PCL molecular weight = 50 kDa"
https://10.1089/ten.tec.2019.0112,PCL [85 wt%] Hydroxyapatite [15 wt%] ,5.5 bar,160,0.8,27 Gauge Cylindrical, ,"PCL molecular weight = 50 kDa"
https://10.1089/ten.tec.2019.0112,PCL [70 wt%] Hydroxyapatite [30 wt%] ,5 bar,160,1,22 Gauge Cylindrical, ,"PCL molecular weight = 50 kDa"
https://10.1089/ten.tec.2019.0112,PCL [70 wt%] Hydroxyapatite [30 wt%] ,5.5 bar,160,0.8,24 Gauge Cylindrical, ,"PCL molecular weight = 50 kDa"
https://10.1089/ten.tec.2019.0112,PCL [70 wt%] Hydroxyapatite [30 wt%] ,6.5 bar,160,0.5,27 Gauge Cylindrical, ,"PCL molecular weight = 50 kDa"
https://10.1016/j.actbio.2019.03.041,PCL [100 wt%] ,5 bar,160,1.2,22 Gauge Cylindrical, ,"PCL molecular weight = 50 kDa"
https://10.1016/j.actbio.2019.03.041,PCL [85 wt%] Hydroxyapatite [15 wt%] ,5 bar,160,0.9,22 Gauge Cylindrical, ,"PCL molecular weight = 50 kDa"
